date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:03:48	79589/79589	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202017%2020:45:42%20GMT	http://bgf-records.000webhostapp.com/gallery_gen/a5736d591ca4d5802c7e5b20568733e5_510x220.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/gallery_gen/a5736d591ca4d5802c7e5b20568733e5_510x220.png	(from http://bgf-records.000webhostapp.com/)
21:03:49	23424/23424	---M--	200	added ('OK')	application/font-woff	date:Wed,%2024%20Feb%202016%2010:55:30%20GMT	http://bgf-records.000webhostapp.com/fonts/glyphicons-halflings-regular.woff	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/fonts/glyphicons-halflings-regular.woff	(from http://bgf-records.000webhostapp.com/css/bootstrap.min.css)
21:03:49	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2024%20Feb%202016%2010:55:26%20GMT	http://bgf-records.000webhostapp.com/fonts/glyphicons-halflings-regular.eot?	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/fonts/glyphicons-halflings-regulard41d.eot	(from http://bgf-records.000webhostapp.com/css/bootstrap.min.css)
21:03:49	77160/77160	---M--	200	added ('OK')	text/html	date:Fri,%2022%20Sep%202017%2012:45:32%20GMT	http://bgf-records.000webhostapp.com/css/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/css/fonts/fontawesome-webfont3e6e.html	(from http://bgf-records.000webhostapp.com/css/font-awesome/font-awesome.min.css?v=4.7.0)
21:03:52	108738/108738	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2024%20Feb%202016%2010:55:28%20GMT	http://bgf-records.000webhostapp.com/fonts/glyphicons-halflings-regular.svg	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/fonts/glyphicons-halflings-regular.svg	(from http://bgf-records.000webhostapp.com/css/bootstrap.min.css)
21:04:05	98024/98024	---M--	200	added ('OK')	application/font-woff	date:Fri,%2022%20Sep%202017%2012:45:28%20GMT	http://bgf-records.000webhostapp.com/css/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/css/fonts/fontawesome-webfont3e6e.woff	(from http://bgf-records.000webhostapp.com/css/font-awesome/font-awesome.min.css?v=4.7.0)
21:04:06	2000/2000	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Nov%202017%2019:04:06%20GMT	http://bgf-records.000webhostapp.com/img/hlight_bg.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/img/hlight_bg.1b.delayed	(from http://bgf-records.000webhostapp.com/css/site.css?v=20171116120930)
21:04:06	2000/2000	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Nov%202017%2019:04:06%20GMT	http://bgf-records.000webhostapp.com/img/gallery.empty.gif	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/img/gallery.empty.gif	(from http://bgf-records.000webhostapp.com/css/site.css?v=20171116120930)
21:04:06	2000/2000	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Nov%202017%2019:04:07%20GMT	http://bgf-records.000webhostapp.com/img/icon-logo.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/img/icon-logo.png	(from http://bgf-records.000webhostapp.com/css/site.css?v=20171116120930)
21:04:07	2000/2000	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Nov%202017%2019:04:07%20GMT	http://bgf-records.000webhostapp.com/img/flags_matrix.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/img/flags_matrix.png	(from http://bgf-records.000webhostapp.com/css/site.css?v=20171116120930)
